"method","IF","seed","budget","role","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"IF100 Fixed K4","100","1","400","main","fixed_k4_t01_tau025_e50","ok","400","K=4:100","46","32.93","63.72727272727273","31.575757575757574","4.352941176470588"
"IF100 Fixed K4","100","2","400","main","fixed_k4_t01_tau025_e50_seed2","ok","400","K=4:100","47","33.49","63.666666666666664","32.24242424242424","5.411764705882353"
"IF100 Fixed K4","100","3","400","main","fixed_k4_t01_tau025_e50_seed3","ok","400","K=4:100","49","32.77","63.96969696969697","30.181818181818183","5.0"
"IF100 Sqrt B200","100","1","200","main","adaptive_sqrt_budget200_e50","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","48","33.6","63.72727272727273","31.78787878787879","6.117647058823529"
"IF100 Sqrt B200","100","2","200","main","adaptive_sqrt_budget200_e50_seed2","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","48","33.05","63.84848484848485","30.939393939393938","5.205882352941177"
"IF100 Sqrt B200","100","3","200","main","adaptive_sqrt_budget200_e50_seed3","ok","200","K=1:27 K=2:48 K=3:23 K=4:2","50","31.68","63.27272727272727","27.727272727272727","4.852941176470588"
"IF50 Fixed K3","50","1","300","main","fixed_k3_if50_e50","ok","300","K=3:100","49","36.28","63.666666666666664","36.484848484848484","9.5"
"IF50 Fixed K3","50","2","300","main","fixed_k3_if50_e50_seed2","ok","300","K=3:100","48","37.53","65.39393939393939","37.515151515151516","10.5"
"IF50 Fixed K3","50","3","300","main","fixed_k3_if50_e50_seed3","ok","300","K=3:100","50","37.05","65.0","36.72727272727273","10.235294117647058"
"IF50 Fixed K4","50","1","400","main","fixed_k4_if50_e50","ok","400","K=4:100","50","35.53","63.333333333333336","35.96969696969697","8.117647058823529"
"IF50 Fixed K4","50","2","400","main","fixed_k4_if50_e50_seed2","ok","400","K=4:100","48","38.25","65.60606060606061","39.36363636363637","10.617647058823529"
"IF50 Fixed K4","50","3","400","main","fixed_k4_if50_e50_seed3","ok","400","K=4:100","48","37.91","65.9090909090909","38.18181818181818","10.470588235294118"
"IF50 Sqrt B300","50","1","300","main","adaptive_sqrt_budget300_if50_e50","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","47","38.94","66.45454545454545","40.36363636363637","10.852941176470589"
"IF50 Sqrt B300","50","2","300","main","adaptive_sqrt_budget300_if50_e50_seed2","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","49","37.59","64.96969696969697","37.57575757575758","11.029411764705882"
"IF50 Sqrt B300","50","3","300","main","adaptive_sqrt_budget300_if50_e50_seed3","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","49","37.47","66.24242424242425","37.696969696969695","9.323529411764707"
